name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2019-06-01,25.6,19.2,21.4,25.6,19.2,21.4,14.1,64.1,0,0,0,,0,0,68.4,19.7,36.8,1009.8,11.6,15.9,237.6,20.6,8,,2019-06-01T05:27:15,2019-06-01T20:20:51,0.94,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-02,28.7,17.9,21.8,28.2,17.9,21.7,16,72.5,9.92,100,16.67,rain,0,0,57.2,14.8,250.2,1006.6,27.9,15.4,257.1,21.9,8,,2019-06-02T05:26:49,2019-06-02T20:21:35,0.98,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-03,23.2,15.6,18.9,23.2,15.6,18.9,6.6,47.1,0.23,100,4.17,rain,0,0,72.2,21.9,270,1012.3,25,16,309,26.5,10,,2019-06-03T05:26:26,2019-06-03T20:22:17,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-04,22.8,13.8,18.1,22.8,13.8,18.1,6.2,46.2,0,0,0,,0,0,90.7,19.9,252.5,1018.5,2.6,16,334.3,28.9,10,,2019-06-04T05:26:05,2019-06-04T20:22:57,0.04,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-05,27.8,17.9,22.1,28.3,17.9,22.1,15,65.2,0.469,100,4.17,rain,0,0,57.4,15,241.9,1011.8,42,15.9,215.9,18.5,9,,2019-06-05T05:25:45,2019-06-05T20:23:37,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-06,28.8,20.7,24.5,29.5,20.7,24.7,18.1,70.3,3.562,100,12.5,rain,0,0,64.8,18.1,259.5,1007.1,62.2,15.2,219.7,18.8,8,,2019-06-06T05:25:28,2019-06-06T20:24:15,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-07,26.2,18,22.1,26.2,18,22.1,16,69.2,0.929,100,12.5,rain,0,0,90.7,21.5,60.7,1013.1,9.8,16,239,20.9,9,,2019-06-07T05:25:12,2019-06-07T20:24:51,0.15,Rain,Clear conditions throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-08,27.1,16.8,21.4,26.8,16.8,21.4,12.3,59.9,0.46,100,8.33,rain,0,0,50.6,26.9,61.1,1020.2,1,15.4,313.6,27.1,9,,2019-06-08T05:24:59,2019-06-08T20:25:27,0.19,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-09,24.9,17.1,20.6,24.9,17.1,20.6,9.8,51.5,0.469,100,4.17,rain,0,0,50,23.6,61.3,1025.5,0.9,16,337.9,29.2,10,,2019-06-09T05:24:47,2019-06-09T20:26:00,0.22,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-10,20.7,16.1,18.2,20.7,16.1,18.2,15.8,86.8,9.051,100,37.5,rain,0,0,29.5,25.7,42.2,1018.1,77.9,10.4,49.5,4.2,2,,2019-06-10T05:24:37,2019-06-10T20:26:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-11,26.6,18.3,22.1,26.6,18.3,22.1,13.7,64.1,5.401,100,20.83,rain,0,0,86.8,16.8,298.2,1013,36,14.5,307.1,26.6,10,,2019-06-11T05:24:30,2019-06-11T20:27:03,0.3,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-12,23.8,16.6,20.1,23.8,16.6,20.1,9.7,51.9,0,0,0,,0,0,63,20.1,139.6,1021.3,2.1,16,309.5,26.7,9,,2019-06-12T05:24:24,2019-06-12T20:27:32,0.33,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-13,19.2,15.5,17.6,19.2,15.5,17.6,13.6,77.7,15.341,100,29.17,rain,0,0,57.2,41.1,53.4,1011.1,54.7,14.4,180.5,15.6,9,,2019-06-13T05:24:21,2019-06-13T20:28:00,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9152,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-14,23.8,15.6,19.3,23.8,15.6,19.3,11.5,64.1,1.173,100,20.83,rain,0,0,94.6,28.6,262.4,1012.2,49.2,15.8,236.1,20.5,7,,2019-06-14T05:24:19,2019-06-14T20:28:26,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-15,27.8,16.7,22.3,27.2,16.7,22.2,11.2,50.5,0.23,100,4.17,rain,0,0,91.2,28.9,248.1,1018.1,17.7,16,308.9,26.7,10,,2019-06-15T05:24:19,2019-06-15T20:28:50,0.44,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2019-06-16,27.7,20.5,23.3,28.9,20.5,23.4,17.2,69.4,0.528,100,12.5,rain,0,0,76,25.1,248.4,1011.8,54.4,16,157,13.4,6,,2019-06-16T05:24:21,2019-06-16T20:29:12,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
